Country Code,Country Name,Methane emissions (kt CO2 equivalent),Imputed Univariate Mean,Imputed Multivariate Uniform,Imputed Multivariate Distance
ISL,Iceland,515.164553,515.164553,515.164553,515.164553
ISR,Israel,9801.47314,9801.47314,9801.47314,9801.47314
ITA,Italy,43888.65304,43888.65304,43888.65304,43888.65304
JAM,Jamaica,825.92789,825.92789,825.92789,825.92789
JOR,Jordan,6678.095787,6678.095787,6678.095787,6678.095787
JPN,Japan,25783.31233,25783.31233,25783.31233,25783.31233
KAZ,Kazakhstan,69749.45146,69749.45146,69749.45146,69749.45146
KEN,Kenya,37602.48554,37602.48554,37602.48554,37602.48554
KGZ,Kyrgyz Republic,4864.996701,4864.996701,4864.996701,4864.996701
KHM,Cambodia,17836.42554,17836.42554,17836.42554,17836.42554
KIR,Kiribati,23.209951,23.209951,23.209951,23.209951
KNA,St. Kitts and Nevis,82.070818,82.070818,82.070818,82.070818
KOR,"Korea, Rep.",21990.13017,21990.13017,21990.13017,21990.13017
KWT,Kuwait,22640.62617,22640.62617,22640.62617,22640.62617
LAO,Lao PDR,8011.314315,8011.314315,8011.314315,8011.314315
LBN,Lebanon,3459.013432,3459.013432,3459.013432,3459.013432
LBR,Liberia,338.868895,338.868895,338.868895,338.868895
LBY,Libya,24033.12005,24033.12005,24033.12005,24033.12005
LCA,St. Lucia,272.859517,272.859517,272.859517,272.859517
LIE,Liechtenstein,2.588257,2.588257,2.588257,2.588257
LKA,Sri Lanka,8377.671174,8377.671174,8377.671174,8377.671174
LSO,Lesotho,998.828453,998.828453,998.828453,998.828453
LTU,Lithuania,2998.360922,2998.360922,2998.360922,2998.360922
LUX,Luxembourg,555.763012,555.763012,555.763012,555.763012
LVA,Latvia,1952.810529,1952.810529,1952.810529,1952.810529
MAC,"Macao SAR, China",,42956.6173186,42956.6173186,42956.6173186
MAF,St. Martin (French part),,42956.6173186,42956.6173186,42956.6173186
MAR,Morocco,12029.80502,12029.80502,12029.80502,12029.80502
MCO,Monaco,,42956.6173186,42956.6173186,42956.6173186
MDA,Moldova,3287.202022,3287.202022,3287.202022,3287.202022
MDG,Madagascar,19021.93937,19021.93937,19021.93937,19021.93937
MDV,Maldives,137.66522,137.66522,137.66522,137.66522
MEX,Mexico,143480.8889,143480.8889,143480.8889,143480.8889
MHL,Marshall Islands,31.91103,31.91103,31.91103,31.91103
MKD,North Macedonia,2369.77411,2369.77411,2369.77411,2369.77411
MLI,Mali,23070.48212,23070.48212,23070.48212,23070.48212
MLT,Malta,228.28561,228.28561,228.28561,228.28561
MMR,Myanmar,72110.01694,72110.01694,72110.01694,72110.01694
MNE,Montenegro,783.237121,783.237121,783.237121,783.237121
MNG,Mongolia,18159.40469,18159.40469,18159.40469,18159.40469
MNP,Northern Mariana Islands,,42956.6173186,895.5478434,2075.169843614499
MOZ,Mozambique,16255.45655,16255.45655,16255.45655,16255.45655
MRT,Mauritania,6896.748571,6896.748571,6896.748571,6896.748571
MUS,Mauritius,1973.725821,1973.725821,1973.725821,1973.725821
MWI,Malawi,4389.696958,4389.696958,4389.696958,4389.696958
MYS,Malaysia,37175.59793,37175.59793,37175.59793,37175.59793
NAM,Namibia,5335.779671,5335.779671,5335.779671,5335.779671
NCL,New Caledonia,,42956.6173186,4864.3158828,1430.5113850165887
NER,Niger,28579.35341,28579.35341,28579.35341,28579.35341
NGA,Nigeria,151059.7744,151059.7744,151059.7744,151059.7744
NIC,Nicaragua,9584.807309,9584.807309,9584.807309,9584.807309
NLD,Netherlands,15200.5766,15200.5766,15200.5766,15200.5766
NOR,Norway,4342.761259,4342.761259,4342.761259,4342.761259
NPL,Nepal,23643.67208,23643.67208,23643.67208,23643.67208
NRU,Nauru,4.291393,4.291393,4.291393,4.291393
NZL,New Zealand,32241.937,32241.937,32241.937,32241.937
OMN,Oman,19838.88305,19838.88305,19838.88305,19838.88305
PAK,Pakistan,169428.2367,169428.2367,169428.2367,169428.2367
PAN,Panama,5047.340489,5047.340489,5047.340489,5047.340489
PER,Peru,31679.81165,31679.81165,31679.81165,31679.81165
PHL,Philippines,65722.00682,65722.00682,65722.00682,65722.00682
PLW,Palau,19.526302,19.526302,19.526302,19.526302
PNG,Papua New Guinea,10854.74217,10854.74217,10854.74217,10854.74217
POL,Poland,29540.38185,29540.38185,29540.38185,29540.38185
PRI,Puerto Rico,,42956.6173186,4864.3158828,5079.34961167827
PRK,"Korea, Dem. People's Rep.",18145.48138,18145.48138,18145.48138,18145.48138
PRT,Portugal,11383.20988,11383.20988,11383.20988,11383.20988
PRY,Paraguay,30106.5439,30106.5439,30106.5439,30106.5439
PSE,West Bank and Gaza,,42956.6173186,12692.140185,16639.67228142638
PYF,French Polynesia,,42956.6173186,1412.3597194,961.0954593620838
QAT,Qatar,30708.39042,30708.39042,30708.39042,30708.39042
ROU,Romania,16458.96123,16458.96123,16458.96123,16458.96123
RUS,Russian Federation,617227.2995,617227.2995,617227.2995,617227.2995
RWA,Rwanda,2680.924714,2680.924714,2680.924714,2680.924714
SAU,Saudi Arabia,102630.5123,102630.5123,102630.5123,102630.5123
SDN,Sudan,55887.39611,55887.39611,55887.39611,55887.39611
SEN,Senegal,11762.77345,11762.77345,11762.77345,11762.77345
SGP,Singapore,4347.650851,4347.650851,4347.650851,4347.650851
SLB,Solomon Islands,416.003048,416.003048,416.003048,416.003048
SLE,Sierra Leone,3591.093856,3591.093856,3591.093856,3591.093856
SLV,El Salvador,3269.495506,3269.495506,3269.495506,3269.495506
SMR,San Marino,,42956.6173186,895.5478434,565.9508183882865
SOM,Somalia,18752.05737,18752.05737,18752.05737,18752.05737
SRB,Serbia,11734.80539,11734.80539,11734.80539,11734.80539
SSD,South Sudan,32385.92039,32385.92039,32385.92039,32385.92039
STP,Sao Tome and Principe,11.596147,11.596147,11.596147,11.596147
SUR,Suriname,1415.671617,1415.671617,1415.671617,1415.671617
SVK,Slovak Republic,4410.301876,4410.301876,4410.301876,4410.301876
SVN,Slovenia,1697.1412,1697.1412,1697.1412,1697.1412
SWE,Sweden,4792.09356,4792.09356,4792.09356,4792.09356
SWZ,Eswatini,1326.034028,1326.034028,1326.034028,1326.034028
SXM,Sint Maarten (Dutch part),,42956.6173186,42956.6173186,42956.6173186
SYC,Seychelles,94.696179,94.696179,94.696179,94.696179
SYR,Syrian Arab Republic,15963.67267,15963.67267,15963.67267,15963.67267
TCA,Turks and Caicos Islands,,42956.6173186,895.5478434,1627.6263710249277
TCD,Chad,59438.92298,59438.92298,59438.92298,59438.92298
TGO,Togo,3039.881913,3039.881913,3039.881913,3039.881913
THA,Thailand,75892.78006,75892.78006,75892.78006,75892.78006
TJK,Tajikistan,5520.881442,5520.881442,5520.881442,5520.881442
TKM,Turkmenistan,124818.6445,124818.6445,124818.6445,124818.6445
TLS,Timor-Leste,4794.894791,4794.894791,4794.894791,4794.894791
TON,Tonga,92.338189,92.338189,92.338189,92.338189
TTO,Trinidad and Tobago,6667.330375,6667.330375,6667.330375,6667.330375
TUN,Tunisia,6653.819385,6653.819385,6653.819385,6653.819385
TUR,Turkiye,50444.76645,50444.76645,50444.76645,50444.76645
TUV,Tuvalu,11.574492,11.574492,11.574492,11.574492
TZA,Tanzania,46487.36706,46487.36706,46487.36706,46487.36706
UGA,Uganda,21178.67916,21178.67916,21178.67916,21178.67916
UKR,Ukraine,32317.87499,32317.87499,32317.87499,32317.87499
URY,Uruguay,20393.59933,20393.59933,20393.59933,20393.59933
USA,United States,748241.4029,748241.4029,748241.4029,748241.4029
UZB,Uzbekistan,53601.94309,53601.94309,53601.94309,53601.94309
VCT,St. Vincent and the Grenadines,67.776175,67.776175,67.776175,67.776175
VGB,British Virgin Islands,,42956.6173186,473.25627220000007,49.843602499999996
VIR,Virgin Islands (U.S.),,42956.6173186,36.2143648,33.83751841245549
VNM,Vietnam,79619.23803,79619.23803,79619.23803,79619.23803
VUT,Vanuatu,374.327533,374.327533,374.327533,374.327533
WSM,Samoa,267.323935,267.323935,267.323935,267.323935
XKX,Kosovo,,42956.6173186,42956.6173186,42956.6173186
YEM,"Yemen, Rep.",10542.15376,10542.15376,10542.15376,10542.15376
ZAF,South Africa,72213.21514,72213.21514,72213.21514,72213.21514
ZMB,Zambia,15448.75233,15448.75233,15448.75233,15448.75233
ZWE,Zimbabwe,12060.82302,12060.82302,12060.82302,12060.82302
